run_id,loss,budget,method
63ac1e8c-0998-49b3-98d4-85f946c29e39,30.615539,1,hyperband
fdcefc95-769e-4704-85b3-8def1a5b4de0,70.641819,1,hyperband
3cfb62db-4b18-455b-bffc-a0b3bf43a025,83.086984,1,hyperband
a28aff30-aea6-496a-9fc1-1d606747c208,61.957149,1,hyperband
38dd235b-415f-4921-b39f-aa154cfbbf62,140.126027,1,hyperband
f8a87d9d-2051-4521-a2da-2c2bc99aaa57,112.011881,1,hyperband
63ac1e8c-0998-49b3-98d4-85f946c29e39,30.615539,1,hyperband
fdcefc95-769e-4704-85b3-8def1a5b4de0,70.641819,1,hyperband
3cfb62db-4b18-455b-bffc-a0b3bf43a025,83.086984,1,hyperband
a28aff30-aea6-496a-9fc1-1d606747c208,61.957149,1,hyperband
38dd235b-415f-4921-b39f-aa154cfbbf62,140.126027,1,hyperband
f8a87d9d-2051-4521-a2da-2c2bc99aaa57,112.011881,1,hyperband
63ac1e8c-0998-49b3-98d4-85f946c29e39,3.255589,3,hyperband
a28aff30-aea6-496a-9fc1-1d606747c208,11.895388,3,hyperband
58613ddb-a4fe-4b6c-8911-e08accb97bee,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,hyperband
27cab6e8-0b1e-4af5-90db-f448c64058b6,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,hyperband
297e7050-8616-43df-a395-4e9c58908a6f,228.015901,1,hyperSMAC-XG
9e4e0a29-33ba-4ad2-9bf8-17a48a9e68c2,58.383374,1,hyperSMAC-XG
9eb26218-dd65-4dc7-ab54-f87f58bdf4c3,36.207423,1,hyperSMAC-XG
5d19f091-3fad-4ed9-ae1d-be85cdd71f03,104.243728,1,hyperSMAC-XG
c5f40142-1e0e-49f6-938f-ed08cb5ba5e9,89.328593,1,hyperSMAC-XG
cde0333f-e9ae-45d8-9516-c7762e2aeb1d,100.520531,1,hyperSMAC-XG
297e7050-8616-43df-a395-4e9c58908a6f,228.015901,1,hyperSMAC-XG
9e4e0a29-33ba-4ad2-9bf8-17a48a9e68c2,58.383374,1,hyperSMAC-XG
9eb26218-dd65-4dc7-ab54-f87f58bdf4c3,36.207423,1,hyperSMAC-XG
5d19f091-3fad-4ed9-ae1d-be85cdd71f03,104.243728,1,hyperSMAC-XG
c5f40142-1e0e-49f6-938f-ed08cb5ba5e9,89.328593,1,hyperSMAC-XG
cde0333f-e9ae-45d8-9516-c7762e2aeb1d,100.520531,1,hyperSMAC-XG
9eb26218-dd65-4dc7-ab54-f87f58bdf4c3,5.858845,3,hyperSMAC-XG
9e4e0a29-33ba-4ad2-9bf8-17a48a9e68c2,8.77071,3,hyperSMAC-XG
b5d4fc03-bf7c-4aec-8ad9-d9ea2588a294,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,hyperSMAC-XG
4c6cfc9a-d7c2-4d91-bdfa-ed63f35cbd6d,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,hyperSMAC-XG
9126bd33-fade-42ad-8ebb-81a82e4d1bac,22.547489,3,random
4b30905d-8b21-4dc0-bf80-38e71c886dff,3.384283,3,random
f4dcda60-05af-4dcc-a13f-cff280ac367c,60.660877,3,random
45dc2158-2dcd-427a-aefa-22d554d2a30e,7.219443,3,random
3de2cc09-ced9-4776-b0fd-f187f5c0ae15,4.269262,3,random
18569abf-2faa-43e0-b21a-22a08e204e08,20.343329,3,random
74e45fcd-d82b-46f1-be86-2d8843cae650,10.110266,3,random
c1eb5f38-c680-45ac-ab00-94d9f6acb0d7,272.92012,3,random
d8a3a174-1c0e-417e-9f73-55510ce78ce3,13.844728,3,random
e4bf4789-9a21-42a1-a8ce-c74d7e5eec94,29.429601,3,random
904d28ae-4049-491d-a69b-d44a9d1bc4d1,9.969273,3,random
076c9a51-9384-4511-8b13-33377575ade3,244.616245,3,random
a42df114-b4b4-4a6c-8947-cc0f955a0d5f,260.638108,3,random
